id,Name,titleProject_id,class,score,login,password
0,Сербин Геннадий Михаилович,7,8в,2,Сербин_ГМ,paCQPL4s
1,Папандина Клавдия Яковлевна,304,9в,5,Папандина_КЯ,ISKzWYr3
2,Белагина Галина Андреевна,396,9а,4,Белагина_ГА,i3Qv7AX6
3,Кижняева Анна Леонидовна,178,7и,2,Кижняева_АЛ,bQN2F1ut
4,Цывин Олег Яковлевич,446,7т,2,Цывин_ОЯ,GdJepKw6
5,Жидняева Ксения Эдуардовна,373,7х,4,Жидняева_КЭ,Ho68M3hx
6,Липковский Анатолий Иванович,144,10а,2,Липковский_АИ,pIkNu9L5
7,Меднова Наталья Богдановна,290,7и,5,Меднова_НБ,rQH4Ym7R
8,Житихин Вячеслав Романович,141,9а,5,Житихин_ВР,6qtaXnFq
9,Шеврина Полина Максимовна,33,11а,5,Шеврина_ПМ,8b2VOWph
10,Алпеев Валентин Данилович,323,8а,2,Алпеев_ВД,0Q6htdGU
11,Золикова Клара Игоревна,364,10х,2,Золикова_КИ,LA0DZndt
12,Дориков Дмитрий Петрович,296,10г,5,Дориков_ДП,y60h4aWH
13,Корабышев Кирилл Михаилович,302,8и,5,Корабышев_КМ,sEfB0O3j
14,Ростовиков Константин Николаевич,336,10а,2,Ростовиков_КН,oi9NeF82
15,Нехаев Дмитрий Фёдорович,129,7х,4,Нехаев_ДФ,fUkyhob4
16,Зызлова Мария Николаевна,430,8г,3,Зызлова_МН,B4F9Gi6r
17,Королупов Валерий Тимофеевич,397,10д,5,Королупов_ВТ,nAh73oZG
18,Стенцов Евгений Яковлевич,315,8и,4,Стенцов_ЕЯ,JW1OG6cQ
19,Феклисов Константин Виталиевич,270,9т,None,Феклисов_КВ,6EgphWbu
20,Синелев Руслан Тимофеевич,300,8и,2,Синелев_РТ,Z2ZXmZDA
21,Опевалова Вера Евгеньевна,473,9д,5,Опевалова_ВЕ,z1HgazQ7
22,Назерова Вероника Василевна,206,7б,5,Назерова_ВВ,zF4AbNUE
23,Дименская Светлана Дмитриевна,387,9д,5,Дименская_СД,rOE4Neim
24,Ковторева Раиса Василевна,482,9и,2,Ковторева_РВ,ymTR53kV
25,Кулишнин Вячеслав Яковлевич,386,11х,5,Кулишнин_ВЯ,cEJMJl9Y
26,Лексин Кирилл Антонович,139,7в,5,Лексин_КА,ViQI70BV
27,Лаковский Григорий Василиевич,240,7д,5,Лаковский_ГВ,rntQuTG5
28,Барамыкова Александра Алексеевна,106,10а,3,Барамыкова_АА,BUOhP5Wy
29,Плясулина Оксана Андреевна,346,8х,2,Плясулина_ОА,97dVhEdM
